% Model:              3channel3D.mph
% Version:            COMSOL 5.3.0.316
% Date:               Mar 1 2023, 16:37
% Dimension:          3
% Nodes:              2069
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% X                       Y                        Z                        u (m/s) @ t=10           v (m/s) @ t=10           w (m/s) @ t=10           p (Pa) @ t=10
0.613664                  0.411869                 0.0274264                0.0026459904648444203    0.019566122119714462     -0.002529498008072419    16.826332758956745
0.510677                  0.402972                 0                        0                        0                        0                        16.833760521257677
0.403269                  0.388942                 0                        0                        0                        0                        16.835177048131282
0.315477                  0.433611                 0                        0                        0                        0                        16.833645216186497
0.639981                  0.481543                 0.0306704                0.043386301744544824     0.005781598861930577     -0.012444203457859921    16.79576223667126
0.646291                  0.507661                 0                        0                        0                        0                        16.793411348236233
0.60163                   0.461582                 0.0306704                0.018964146268643046     0.011661227280641446     -0.004046248421790117    16.822287543923487
0.554887                  0.47735                  0                        0                        0                        0                        16.830630617826426
0.589929                  0.516982                 0                        0                        0                        0                        16.82738112767923
0.533461                  0.532784                 0                        0                        0                        0                        16.832163974633968
0.577508                  0.560575                 0                        0                        0                        0                        16.829254685117974
0.0900734                 0.54932                  0                        0                        0                        0                        16.83384835619723
0                         0.562887                 0.10011                  0                        0                        0                        16.835404853693642
0                         0.625                    0                        0                        0                        0                        16.834915483892463
0.0799342                 0.679146                 0                        0                        0                        0                        16.834846976210205
0                         0.875                    0                        0                        0                        0                        16.83671382807588
0                         0.75                     0                        -1.5190461221160374E-18  -2.6478864784069446E-18  4.367871629267672E-19    16.83630907920378
0.218783                  0.516268                 0                        0                        0                        0                        16.833120231288813
0.187047                  0                        0.883455                 0                        0                        0                        16.835526924274504
0.075033                  0.268054                 0.400771                 -0.008326194018852909    0.028338766827520626     0.009585212645435872     16.830911717589366
0.0737588                 0.336853                 0.303592                 -0.0010699656486555166   0.021793610565055615     0.025359532420913093     16.828283191842537
0                         0.426495                 0.330376                 4.405836212925131E-22    0                        0                        16.81673165880098
0.0628293                 0.356782                 0.389701                 -0.037667811406044735    0.052565473869368        0.04167840722337578      16.815494841834685
0                         0.330379                 0.432516                 0                        0                        0                        16.82869075204304
0                         0.429289                 0.429289                 2.602073460005411E-16    0                        0                        16.796097750738088
0.0882745                 0.228061                 0.531132                 -7.691847136724668E-4    0.02038256798317892      -0.0059713526905940395   16.833287731767474
0.0701604                 0.272995                 0.483757                 -0.010582714504667466    0.03309712945890959      0.0010746905199148593    16.828537095998477
0                         0.298985                 0.504853                 3.9548432870931724E-22   0                        0                        16.83176520234356
0.197454                  0.0878912                0.705342                 -0.00784867779364841     0.0022555687107338306    -0.003962635628789994    16.835465949646576
0.123689                  0.136352                 0.637283                 -0.00611485888181777     0.005755013897279985     -0.006033523194494351    16.83518962744271
0.199561                  0.11199                  0.643731                 -0.010559116694288427    0.005127116040335998     -0.004413494087396147    16.83552297414625
0                         0.505768                 0.197609                 0                        0                        0                        16.83733040466385
0                         0.687089                 0.0955363                0                        0                        0                        16.836156063987435
0.169097                  0.6136                   0                        0                        0                        0                        16.83443977056295
